"epsilon","bools","stable","falsePos","A","B","stableA","controlableA","stabEig","unStabEig","eig",
2,100,93,7,"[-0.0669759752370254 -0.541062450503966 0.776781869609156;-0.00379102575458146 -0.828895535181886 -0.53366462866068;-0.0251386911691092 -0.865233372782187 0.723191519968734]","[0.423470186015838 -0.720621442904999;0.745625986085708 -0.212199710297993;0.876004013839261 0.961125659430108]",0,1,2,1,0.96   -0.046708      -1.086,
2.2,100,93,7,"[-0.0669759752370254 -0.541062450503966 0.776781869609156;-0.00379102575458146 -0.828895535181886 -0.53366462866068;-0.0251386911691092 -0.865233372782187 0.723191519968734]","[0.423470186015838 -0.720621442904999;0.745625986085708 -0.212199710297993;0.876004013839261 0.961125659430108]",0,1,2,1,0.96   -0.046708      -1.086,
2.4,100,91,9,"[-0.0669759752370254 -0.541062450503966 0.776781869609156;-0.00379102575458146 -0.828895535181886 -0.53366462866068;-0.0251386911691092 -0.865233372782187 0.723191519968734]","[0.423470186015838 -0.720621442904999;0.745625986085708 -0.212199710297993;0.876004013839261 0.961125659430108]",0,1,2,1,0.96   -0.046708      -1.086,
2.6,100,91,9,"[-0.0669759752370254 -0.541062450503966 0.776781869609156;-0.00379102575458146 -0.828895535181886 -0.53366462866068;-0.0251386911691092 -0.865233372782187 0.723191519968734]","[0.423470186015838 -0.720621442904999;0.745625986085708 -0.212199710297993;0.876004013839261 0.961125659430108]",0,1,2,1,0.96   -0.046708      -1.086,
0.5,100,100,0,"[0.289588051970752 -0.971813849621953 0.054867925553268;0.792819558907868 0.245760688869591 0.449983922714478;-0.035539189126403 -0.53780927377773 0.214831582289871]","[0.176732891590501 -0.142079292443985;-0.133130319933884 -0.979645088956446;-0.51165421298595 0.21764289808872]",0,1,1,2,0.26261-1.0067i          0.26261+1.0067i               0.22497+0i,
1,100,95,5,"[0.289588051970752 -0.971813849621953 0.054867925553268;0.792819558907868 0.245760688869591 0.449983922714478;-0.035539189126403 -0.53780927377773 0.214831582289871]","[0.176732891590501 -0.142079292443985;-0.133130319933884 -0.979645088956446;-0.51165421298595 0.21764289808872]",0,1,1,2,0.26261-1.0067i          0.26261+1.0067i               0.22497+0i,
1.5,100,99,1,"[0.289588051970752 -0.971813849621953 0.054867925553268;0.792819558907868 0.245760688869591 0.449983922714478;-0.035539189126403 -0.53780927377773 0.214831582289871]","[0.176732891590501 -0.142079292443985;-0.133130319933884 -0.979645088956446;-0.51165421298595 0.21764289808872]",0,1,1,2,0.26261-1.0067i          0.26261+1.0067i               0.22497+0i,
2,100,91,9,"[0.289588051970752 -0.971813849621953 0.054867925553268;0.792819558907868 0.245760688869591 0.449983922714478;-0.035539189126403 -0.53780927377773 0.214831582289871]","[0.176732891590501 -0.142079292443985;-0.133130319933884 -0.979645088956446;-0.51165421298595 0.21764289808872]",0,1,1,2,0.26261-1.0067i          0.26261+1.0067i               0.22497+0i,
2.2,100,95,5,"[0.289588051970752 -0.971813849621953 0.054867925553268;0.792819558907868 0.245760688869591 0.449983922714478;-0.035539189126403 -0.53780927377773 0.214831582289871]","[0.176732891590501 -0.142079292443985;-0.133130319933884 -0.979645088956446;-0.51165421298595 0.21764289808872]",0,1,1,2,0.26261-1.0067i          0.26261+1.0067i               0.22497+0i,
2.4,100,92,8,"[0.289588051970752 -0.971813849621953 0.054867925553268;0.792819558907868 0.245760688869591 0.449983922714478;-0.035539189126403 -0.53780927377773 0.214831582289871]","[0.176732891590501 -0.142079292443985;-0.133130319933884 -0.979645088956446;-0.51165421298595 0.21764289808872]",0,1,1,2,0.26261-1.0067i          0.26261+1.0067i               0.22497+0i,
2.6,100,87,13,"[0.289588051970752 -0.971813849621953 0.054867925553268;0.792819558907868 0.245760688869591 0.449983922714478;-0.035539189126403 -0.53780927377773 0.214831582289871]","[0.176732891590501 -0.142079292443985;-0.133130319933884 -0.979645088956446;-0.51165421298595 0.21764289808872]",0,1,1,2,0.26261-1.0067i          0.26261+1.0067i               0.22497+0i,
0.5,100,100,0,"[0.915950376394716 0.772470222651503 0.629840542896078;-0.809106952900799 -0.506117269885007 -0.719001126902467;-0.928818873239705 -0.982169887493326 0.759732880568005]","[-0.809246427818951 0.170363276957185;-0.294879797502721 0.335363528369006;0.186841135574983 0.296054230111409]",0,1,2,1,0.078001-0.43292i        0.078001+0.43292i                1.0136+0i,
1,100,98,2,"[0.915950376394716 0.772470222651503 0.629840542896078;-0.809106952900799 -0.506117269885007 -0.719001126902467;-0.928818873239705 -0.982169887493326 0.759732880568005]","[-0.809246427818951 0.170363276957185;-0.294879797502721 0.335363528369006;0.186841135574983 0.296054230111409]",0,1,2,1,0.078001-0.43292i        0.078001+0.43292i                1.0136+0i,
1.5,100,96,4,"[0.915950376394716 0.772470222651503 0.629840542896078;-0.809106952900799 -0.506117269885007 -0.719001126902467;-0.928818873239705 -0.982169887493326 0.759732880568005]","[-0.809246427818951 0.170363276957185;-0.294879797502721 0.335363528369006;0.186841135574983 0.296054230111409]",0,1,2,1,0.078001-0.43292i        0.078001+0.43292i                1.0136+0i,
2,100,92,8,"[0.915950376394716 0.772470222651503 0.629840542896078;-0.809106952900799 -0.506117269885007 -0.719001126902467;-0.928818873239705 -0.982169887493326 0.759732880568005]","[-0.809246427818951 0.170363276957185;-0.294879797502721 0.335363528369006;0.186841135574983 0.296054230111409]",0,1,2,1,0.078001-0.43292i        0.078001+0.43292i                1.0136+0i,
2.2,100,94,6,"[0.915950376394716 0.772470222651503 0.629840542896078;-0.809106952900799 -0.506117269885007 -0.719001126902467;-0.928818873239705 -0.982169887493326 0.759732880568005]","[-0.809246427818951 0.170363276957185;-0.294879797502721 0.335363528369006;0.186841135574983 0.296054230111409]",0,1,2,1,0.078001-0.43292i        0.078001+0.43292i                1.0136+0i,
2.4,100,93,7,"[0.915950376394716 0.772470222651503 0.629840542896078;-0.809106952900799 -0.506117269885007 -0.719001126902467;-0.928818873239705 -0.982169887493326 0.759732880568005]","[-0.809246427818951 0.170363276957185;-0.294879797502721 0.335363528369006;0.186841135574983 0.296054230111409]",0,1,2,1,0.078001-0.43292i        0.078001+0.43292i                1.0136+0i,
2.6,100,95,5,"[0.915950376394716 0.772470222651503 0.629840542896078;-0.809106952900799 -0.506117269885007 -0.719001126902467;-0.928818873239705 -0.982169887493326 0.759732880568005]","[-0.809246427818951 0.170363276957185;-0.294879797502721 0.335363528369006;0.186841135574983 0.296054230111409]",0,1,2,1,0.078001-0.43292i        0.078001+0.43292i                1.0136+0i,
0.5,100,100,0,"[-0.133261865322816 -0.516426412825563 -0.831259057909702;-0.720482481801485 0.300918644956125 0.944178323425683;0.503859015950167 0.714748121668933 -0.937080128881768]","[0.670809100889717 0.0917724177816597;0.671426696341721 0.886339679310957;-0.900284997308814 -0.357053860260022]",1,1,3,0,-0.86222-0.27953i        -0.86222+0.27953i               0.95501+0i,
1,100,99,1,"[-0.133261865322816 -0.516426412825563 -0.831259057909702;-0.720482481801485 0.300918644956125 0.944178323425683;0.503859015950167 0.714748121668933 -0.937080128881768]","[0.670809100889717 0.0917724177816597;0.671426696341721 0.886339679310957;-0.900284997308814 -0.357053860260022]",1,1,3,0,-0.86222-0.27953i        -0.86222+0.27953i               0.95501+0i,
